,Stationsnummer,X-Koordinate,Y-Koordinate,Breitengrad,Längengrad,
01TS0330,01TS0330,512032.62,5443383.7,9.164982624,49.1431618,
01TS0331,01TS0331,511825.63,5443387.31,9.162144644,49.14319829,
01TS0332,01TS0332,511729.22,5443384.74,9.160822669,49.14317703,
01TS0333,01TS0333,513444.75,5441815.12,9.184292318,49.12902258,
01TS0334,01TS0334,514387.05,5445858.83,9.197353117,49.16537575,
01TS0335,01TS0335,515968,5446423.39,9.219061907,49.17041504,
01TS0336,01TS0336,515955.91,5442868.19,9.218755181,49.13843523,
01TS0337,01TS0337,515487.98,5442582.71,9.212328949,49.13587921,
01TS0338,01TS0338,515553.21,5442545.8,9.213221774,49.13554555,
01TS0339,01TS0339,515721.39,5442880.73,9.21554043,49.13855408,
01TS0034,01TS0034,515848.8,5447065.37,9.217451931,49.17619292,
01TS0340,01TS0340,515549.42,5442396.07,9.213164041,49.13419877,
01TS0341,01TS0341,515574.29,5442359.21,9.213503553,49.13386657,
01TS0342,01TS0342,515131.91,5440641.64,9.207374693,49.11842747,
01TS0343,01TS0343,515052.18,5440851.34,9.206289866,49.12031575,
01TS0344,01TS0344,515893.78,5443348.8,9.217922341,49.14276008,
01TS0346,01TS0346,518080.1,5443431.19,9.24790277,49.14344074,
01TS0348,01TS0348,515451.15,5446021.58,9.211955964,49.16681387,
01TS0349,01TS0349,515852.18,5444669.56,9.217403936,49.15464182,
01TS0035,01TS0035,515840.65,5447185.96,9.21734486,49.17727787,
01TS0350,01TS0350,515893.26,5444663.66,9.217967089,49.15458768,
01TS0351,01TS0351,515877.37,5444756.84,9.217752842,49.15542628,
01TS0353,01TS0353,515930.69,5445010,9.218494119,49.15770215,
01TS0354,01TS0354,515720.77,5444977.12,9.215613742,49.15741179,
01TS0356,01TS0356,515683.46,5445349.13,9.215116523,49.16075909,
01TS0357,01TS0357,515712.04,5445334.62,9.215507961,49.16062784,
01TS0359,01TS0359,515772.65,5445794.82,9.216357321,49.16476592,
01TS0036,01TS0036,515812.99,5447555.85,9.216979892,49.18060584,
01TS0360,01TS0360,515820.23,5445968.04,9.217016792,49.16632286,
01TS0361,01TS0361,515799.24,5446136.24,9.216735464,49.16783641,
01TS0362,01TS0362,515737.36,5446261.67,9.2158915,49.16896628,
01TS0363,01TS0363,515742.95,5445796.43,9.215949985,49.16478116,
01TS0364,01TS0364,515844.58,5446267.86,9.21736262,49.1690192,
01TS0365,01TS0365,515706.38,5446349.27,9.215469927,49.16975506,
01TS0369,01TS0369,514206.23,5441428.07,9.194716519,49.12552379,
01TS0037,01TS0037,514061.62,5442694.38,9.192778607,49.13691803,
01TS0371,01TS0371,516105.21,5443394.52,9.220823099,49.14316584,
01TS0372,01TS0372,512992.26,5443685.37,9.17815018,49.14585588,
01TS0373,01TS0373,511285.6,5440867.61,9.154669638,49.1205428,
01TS0374,01TS0374,515340.1,5441805.87,9.210272079,49.12889498,
01TS0375,01TS0375,514754.77,5441567.18,9.202240078,49.12676221,
01TS0377,01TS0377,515671.65,5441456.48,9.21480314,49.12574372,
01TS0378,01TS0378,514286.32,5441066.73,9.195801462,49.12227154,
01TS0379,01TS0379,514431.9,5440692.49,9.197783312,49.11890171,
01TS0038,01TS0038,514802.67,5442418.99,9.202927898,49.13442339,
01TS0380,01TS0380,514340.51,5440545.56,9.196525635,49.11758216,
01TS0382,01TS0382,516293.21,5442377.98,9.223359706,49.13401677,
01TS0383,01TS0383,515831.81,5442462.34,9.217037846,49.13478768,
01TS0386,01TS0386,518316.05,5439895.87,9.250977373,49.11163238,
01TS0388,01TS0388,517059.98,5444408.22,9.233957039,49.15225861,
01TS0389,01TS0389,516753.03,5444602.97,9.229755727,49.1540189,
01TS0039,01TS0039,514633.95,5442189.87,9.200606636,49.13236642,
01TS0391,01TS0391,516394.67,5442063.89,9.224737814,49.13118873,
01TS0392,01TS0392,516339.88,5446364.79,9.224161237,49.16987812,
01TS0393,01TS0393,517209.71,5443553.7,9.23597388,49.14456776,
01TS0395,01TS0395,518389.03,5439928.78,9.251978877,49.11192624,
01TS0396,01TS0396,517313.47,5441806.6,9.237321549,49.12884911,
01TS0397,01TS0397,513665.79,5441972.62,9.187327518,49.13043447,
01TS0398,01TS0398,514600.59,5440644.91,9.200093403,49.11846973,
01TS0399,01TS0399,516390.48,5442558.39,9.224700482,49.13563703,
01TS0004,01TS0004,515182.52,5446117.76,9.208274603,49.16768574,
01TS0040,01TS0040,517931.08,5442357.04,9.245811735,49.13378279,
01TS0400,01TS0400,516363.2,5440645.07,9.224248869,49.11842678,
01TS0401,01TS0401,513104.88,5443309.22,9.179682186,49.14246989,
01TS0404,01TS0404,515117.58,5442424.17,9.207245124,49.13446232,
01TS0405,01TS0405,514983.17,5442753.56,9.205414768,49.13742859,
01TS0406,01TS0406,514840.66,5443010.31,9.203470466,49.1397416,
01TS0407,01TS0407,514738.27,5443115.21,9.20207051,49.14068768,
01TS0408,01TS0408,516279.82,5443090.82,9.223204938,49.14042936,
01TS0409,01TS0409,512299.85,5441026.15,9.168574751,49.12194947,
01TS0041,01TS0041,515237.84,5443270.62,9.208925743,49.14207345,
01TS0410,01TS0410,512090.69,5440899.37,9.165704336,49.12081319,
01TS0414,01TS0414,515837.64,5443667.71,9.217165137,49.14563023,
01TS0416,01TS0416,518159.18,5445677.82,9.249088358,49.1636475,
01TS0417,01TS0417,516955.04,5443902.24,9.232496627,49.14771007,
01TS0418,01TS0418,519815.92,5441596.92,9.27161279,49.12688737,
01TS0419,01TS0419,517144.12,5445227.88,9.235145806,49.15962935,
01TS0042,01TS0042,516163.8,5441613.38,9.22155502,49.12714235,
01TS0420,01TS0420,513474.92,5447997.26,9.184912761,49.18463227,
01TS0423,01TS0423,512939.55,5448039.39,9.177567414,49.18502277,
01TS0424,01TS0424,512794.2,5447979.45,9.175570901,49.18448664,
01TS0425,01TS0425,512579.4,5447984.79,9.172623447,49.18453912,
01TS0426,01TS0426,512319.07,5447842.46,9.169046669,49.1832641,
01TS0427,01TS0427,516650.21,5443951.81,9.228318718,49.14816431,
01TS0428,01TS0428,515171.83,5442814.8,9.208003528,49.13797483,
01TS0429,01TS0429,516826.59,5444295.51,9.230751695,49.15125119,
01TS0043,01TS0043,515410.41,5447021.48,9.211435405,49.17580928,
01TS0431,01TS0431,513460.44,5441544.25,9.184498344,49.12658566,
01TS0432,01TS0432,516185.25,5443789.22,9.221936397,49.14671419,
01TS0435,01TS0435,516986.31,5443698.09,9.232916807,49.14587281,
01TS0436,01TS0436,515505.62,5444018.98,9.212626044,49.14879849,
01TS0438,01TS0438,515682.36,5444028.21,9.215049993,49.14887703,
01TS0440,01TS0440,514722.85,5441555.64,9.20180214,49.12665917,
01TS0441,01TS0441,515165.28,5443134.58,9.207925762,49.14085152,
01TS0444,01TS0444,513504.3,5445642.78,9.185236889,49.16345238,
01TS0445,01TS0445,514571.68,5443180.71,9.199788844,49.14128085,
01TS0446,01TS0446,517870.53,5443309.83,9.245023925,49.1423552,
01TS0448,01TS0448,514812.5,5446590.01,9.203216069,49.17194281,
01TS0449,01TS0449,514663.26,5447247.19,9.201192582,49.17785792,
01TS0045,01TS0045,515603.47,5447325.51,9.214096022,49.17853924,
01TS0450,01TS0450,514660.03,5447253.9,9.201148508,49.17791836,
01TS0451,01TS0451,514605.44,5447802.42,9.200419413,49.18285375,
01TS0453,01TS0453,517216.34,5442901.84,9.236036938,49.13870389,
01TS0454,01TS0454,512017.73,5442929.72,9.164764926,49.13907838,
01TS0457,01TS0457,516579.99,5442829.89,9.22730966,49.13807418,
01TS0458,01TS0458,516472.17,5442877.37,9.225833413,49.13850418,
01TS0459,01TS0459,516074.56,5442994.78,9.220386906,49.13957085,
01TS0046,01TS0046,515544.2,5447577.34,9.213292515,49.18080602,
01TS0460,01TS0460,516189.68,5442917.21,9.221962107,49.13887006,
01TS0461,01TS0461,516021.42,5442980.19,9.219657767,49.139441,
01TS0463,01TS0463,515465.49,5443401.61,9.212052053,49.14324606,
01TS0465,01TS0465,513282.59,5440556.87,9.182028109,49.11770767,
01TS0467,01TS0467,517419.53,5443987.13,9.238869577,49.14846068,
01TS0468,01TS0468,516111.97,5443298.07,9.22091193,49.14229807,
01TS0469,01TS0469,515589.36,5444206.86,9.21378162,49.15048641,
01TS0047,01TS0047,515275.73,5447255.16,9.209596444,49.17791467,
01TS0470,01TS0470,516493.08,5441506.54,9.226064011,49.12617254,
01TS0471,01TS0471,515128.02,5441282.45,9.207345412,49.12419188,
01TS0472,01TS0472,515378.17,5442795.86,9.210831676,49.13779933,
01TS0473,01TS0473,514717.7,5441216.48,9.201719175,49.12360842,
01TS0474,01TS0474,516426.73,5443755.19,9.22524622,49.14640167,
01TS0476,01TS0476,514805.97,5442416.21,9.202973035,49.1343983,
01TS0477,01TS0477,514271.24,5442029.26,9.195628843,49.1309302,
01TS0478,01TS0478,514445.59,5447092.51,9.198200425,49.17647169,
01TS0479,01TS0479,514071.41,5440883.57,9.192849637,49.12062891,
01TS0480,01TS0480,512473.37,5447925.38,9.171166592,49.18400687,
01TS0481,01TS0481,512932.56,5447942.17,9.177468364,49.18414839,
01TS0482,01TS0482,511978.48,5447955.11,9.164376349,49.18428417,
01TS0484,01TS0484,515504.07,5442283.94,9.212538039,49.13319127,
01TS0486,01TS0486,511783.11,5447980.82,9.161696122,49.18451922,
01TS0487,01TS0487,511800.36,5443162.27,9.161791571,49.14117447,
01TS0488,01TS0488,516234.17,5444118.02,9.222620446,49.14967056,
01TS0489,01TS0489,511961.28,5447914.95,9.164139126,49.18392325,
01TS0049,01TS0049,515767.3,5442657.82,9.216161132,49.13654775,
01TS0490,01TS0490,513090.06,5448047.31,9.179633086,49.18509082,
01TS0491,01TS0491,512179.48,5447897.71,9.167132848,49.18376388,
01TS0492,01TS0492,516086.64,5442211.09,9.220521251,49.13252098,
01TS0494,01TS0494,513157.51,5447835.59,9.180551759,49.18318489,
01TS0495,01TS0495,513374.32,5447811.47,9.18352608,49.18296324,
01TS0496,01TS0496,514338.39,5445540.56,9.196674293,49.16251396,
01TS0497,01TS0497,512939.22,5447770.67,9.177554237,49.18260556,
01TS0498,01TS0498,515151.34,5441868.36,9.207687046,49.12946178,
01TS0499,01TS0499,515067.36,5441112.5,9.206507661,49.12266461,
01TS0005,01TS0005,514552.11,5444059.95,9.199552283,49.14919037,
01TS0050,01TS0050,516192.98,5443719.55,9.222039592,49.14608728,
01TS0500,01TS0500,516113.81,5442833.21,9.220918571,49.13811645,
01TS0501,01TS0501,516309.75,5445046.34,9.22369447,49.15801908,
01TS0502,01TS0502,514245.14,5446582.42,9.195432108,49.17188797,
01TS0503,01TS0503,511929.32,5447746.52,9.163695558,49.1824088,
01TS0504,01TS0504,516381.29,5445341.79,9.224687682,49.16067484,
01TS0505,01TS0505,516330.01,5444616.53,9.22395491,49.15415227,
01TS0506,01TS0506,515462.28,5447527.95,9.212166544,49.18036381,
01TS0507,01TS0507,515468.73,5445497.72,9.212176988,49.16210115,
01TS0508,01TS0508,511888.82,5447914.5,9.163144781,49.18392062,
01TS0509,01TS0509,515809.17,5446394.37,9.216881825,49.1701581,
01TS0510,01TS0510,515744.05,5445193.06,9.215941474,49.15935364,
01TS0511,01TS0511,516277.92,5443178.31,9.223182422,49.14121641,
01TS0512,01TS0512,515893.78,5443770.98,9.217938995,49.14655773,
01TS0513,01TS0513,516004.43,5442581.82,9.219409014,49.13585797,
01TS0514,01TS0514,511128.46,5447602.65,9.152702121,49.1811297,
01TS0516,01TS0516,514434.45,5447641.09,9.19806727,49.18140659,
01TS0517,01TS0517,516428.23,5442965.89,9.225234609,49.13930162,
01TS0518,01TS0518,516203.18,5443050.96,9.222152569,49.14007283,
01TS0519,01TS0519,513733.07,5442192.63,9.188257265,49.13241204,
01TS0052,01TS0052,515503.61,5440590.39,9.212466636,49.11795719,
01TS0520,01TS0520,512061.13,5447749.92,9.165504364,49.18243681,
01TS0521,01TS0521,513005.25,5440653.24,9.178230494,49.11858048,
01TS0526,01TS0526,512445.89,5439995.69,9.170544501,49.11267714,
01TS0527,01TS0527,512601.97,5439903.62,9.172680361,49.11184576,
01TS0528,01TS0528,512776.01,5440024.55,9.175068986,49.11292998,
01TS0529,01TS0529,512935.08,5440417.04,9.177261283,49.11645725,
01TS0053,01TS0053,513273.81,5446566.1,9.182105759,49.17176295,
01TS0530,01TS0530,512902.73,5440291.62,9.176813953,49.11532973,
01TS0531,01TS0531,512718.76,5440319.26,9.174293784,49.1155822,
01TS0534,01TS0534,511783.91,5438396.11,9.161426828,49.0983013,
01TS0535,01TS0535,512828.73,5438703.84,9.175749438,49.10104856,
01TS0536,01TS0536,512442,5440513.93,9.170507174,49.11733899,
01TS0537,01TS0537,512547.65,5440543.46,9.17195593,49.11760248,
01TS0054,01TS0054,516053.98,5443088.77,9.220108495,49.14041686,
01TS0540,01TS0540,515942.62,5444926.54,9.218654436,49.15695109,
01TS0541,01TS0541,512869.1,5447909.14,9.176596475,49.18385261,
01TS0542,01TS0542,516138.41,5445287.46,9.22135416,49.16019256,
01TS0543,01TS0543,512735.99,5445188.08,9.174683738,49.15937863,
01TS0545,01TS0545,512918.72,5445445,9.177198251,49.16168589,
01TS0546,01TS0546,512413.05,5445609.9,9.1702674,49.16317965,
01TS0055,01TS0055,514418.59,5446221.51,9.197798756,49.16863743,
01TS0550,01TS0550,512699.94,5445318.32,9.174193397,49.16055092,
01TS0551,01TS0551,513027.67,5445669.09,9.178699898,49.16369934,
01TS0552,01TS0552,512822.88,5445791.61,9.175894721,49.16480576,
01TS0554,01TS0554,512107.08,5445721.81,9.166073854,49.16419243,
01TS0556,01TS0556,512445.02,5445331.96,9.170697331,49.16067884,
01TS0557,01TS0557,512395.64,5445182.42,9.170015428,49.15933468,
01TS0558,01TS0558,512308.9,5444964.94,9.168819081,49.15738012,
01TS0056,01TS0056,516831.98,5443055.35,9.230773799,49.14009541,
01TS0560,01TS0560,509461.73,5447516.92,9.129829693,49.18038651,
01TS0561,01TS0561,515198.7,5440920.09,9.208300497,49.12093058,
01TS0562,01TS0562,507953.94,5447496.9,9.109140109,49.18022782,
01TS0563,01TS0563,508327.22,5447413.29,9.114260335,49.17947077,
01TS0564,01TS0564,508810.26,5447645.59,9.120893349,49.18155364,
01TS0565,01TS0565,508837.14,5447938.34,9.121268627,49.18418663,
01TS0566,01TS0566,509184.65,5447548.73,9.126028459,49.18067686,
01TS0567,01TS0567,507655.35,5447811,9.10504899,49.18305705,
01TS0569,01TS0569,508030.92,5447610.85,9.110198665,49.18125184,
01TS0057,01TS0057,516534.35,5443038.21,9.226692492,49.13994932,
01TS0570,01TS0570,508432.27,5447757.6,9.115708975,49.18256651,
01TS0572,01TS0572,508047.92,5448011.24,9.11043995,49.18485325,
01TS0574,01TS0574,508291.04,5448103.89,9.11377814,49.18568343,
01TS0575,01TS0575,510907.55,5449024.84,9.14970945,49.19392668,
01TS0576,01TS0576,510677.89,5448997.72,9.146556587,49.19368677,
01TS0578,01TS0578,510187.41,5449074.73,9.139826606,49.19438785,
01TS0581,01TS0581,510368.15,5448680.22,9.142297153,49.19083608,
