ONS,PV-Leistung an ONS,Installierte Trafoleistung,Übrige Trafokapazität,"Übrige Trafokapazität bei Gleichzeitigkeitsfaktor 0,7",Umspannwerk,X-Koordinate,Y-Koordinate,Breitengrad,Längengrad
01TS0257,154.11975,400.0,245.88025,292.116175,UW_ROMER,514715.05,5445929.34,9.201854977917998,49.16600223525105
01TS0334,154.98975,,,,,514387.05,5445858.83,9.197353117041184,49.16537575338226
01TS0795,144.29475000000002,630.0,485.70525,528.9936749999999,UW_ROMER,514682.96,5445372.5,9.20139446984603,49.16099405833427
01TS0798,181.01475,400.0,218.98525,273.289675,UW_ROMER,514749.37,5445697.78,9.202317276207934,49.16391845925305
01TS0163,166.79,715.0,548.21,598.2470000000001,UW_BOEKI,513126.86,5444023.12,9.180006814639365,49.14889119194192
01TS0372,241.86,400.0,158.14,230.698,UW_BOEKI,512992.26,5443685.37,9.178150180194754,49.14585587770599
01TS0827,185.60500000000002,630.0,444.395,500.0765,UW_BOEKI,512944.63,5443928.31,9.177504885869517,49.14804221214979
01TS0272,38.6775,400.0,361.3225,372.92575,UW_BOEKI,513672.09,5441588.35,9.18740084836327,49.12697768073092
01TS0333,134.12249999999997,315.0,180.87750000000003,221.11425000000003,UW_BOEKI,513444.75,5441815.12,9.184292317518345,49.12902257638727
01TS0397,68.97250000000003,1130.0,1061.0275,1081.71925,UW_BOEKI,513665.79,5441972.62,9.18732751787926,49.13043447045216
01TS0431,33.1475,400.0,366.8525,376.79675,UW_BOEKI,513460.44,5441544.25,9.184498344415204,49.12658565712865
01TS0609,33.1475,400.0,366.8525,376.79675,UW_BOEKI,514015.93,5441828.08,9.19212210491392,49.129126393837076
01TS0623,52.927500000000016,250.0,197.0725,212.95075,UW_BOEKI,513371.41,5442058.89,9.18329510703044,49.13121697715734
01TSXXXX,109.415,,,,,,,,
01TS0785,155.338,400.0,244.662,291.2634,UW_BHOXX,507542.72,5447614.75,9.103499768328032,49.18129311769805
05TS0022,247.33333333333334,630.0,382.66666666666663,456.8666666666667,UW_GROGH,508693.23,5443371.73,9.119195177757106,49.14311047057472
05TS0015,222.53833333333336,400.0,177.46166666666664,244.22316666666666,UW_GROGH,508240.4,5443290.91,9.112984666001454,49.142389706718134
05TS0057,455.92833333333334,400.0,-55.92833333333334,80.85016666666667,UW_GROGH,508419.8,5443179.22,9.11544209234308,49.1413825800908
05TS0061,495.36,630.0,134.64,283.248,UW_GROGH,509428.6,5444028.08,9.129293365137471,49.14900372969364
08TS0032,151.856,630.0,478.144,523.7008000000001,UW_GROGH,514314.78,5436635.94,9.196034468298171,49.08241413855009
01TS0563,198.70000000000005,400.0,201.29999999999995,260.90999999999997,UW_BHOXX,508327.22,5447413.29,9.11426033468728,49.17947077252278
05TS0065,245.01500000000001,400.0,154.98499999999999,228.4895,UW_GROGH,509419.3,5442763.97,9.129136285354468,49.13763273632133
05TS0070,73.47999999999999,630.0,556.52,578.564,UW_GROGH,507103.9,5443719.1,9.097409614759409,49.14625563354022
06TS0009,102.98500000000001,400.0,297.015,327.9105,UW_UGRBH,521035.7,5439125.86,9.288203046003789,49.10461885345658
06TS0027,176.63499999999996,400.0,223.36500000000004,276.3555,UW_UGRBH,520295.11,5437727.76,9.2779863557821,49.09206733021197
07TS0018,255.30999999999997,400.0,144.69000000000003,221.28300000000002,UW_UGRBH,514761.03,5438631.79,9.20221852632535,49.10035710192591
08TS0041,427.66800000000006,630.0,202.33199999999994,330.63239999999996,UW_GROGH,513715.21,5437304.1,9.187846344193542,49.088438180175324
06TS0007,286.075,400.0,113.92500000000001,199.74750000000003,UW_UGRBH,523059.74,5436954.34,9.315809375227248,49.085012753065584
02TS0025,240.35599999999997,630.0,389.644,461.7508,UW_LAUFN,511557.95,5435410.37,9.158246066108537,49.0714475127201
02TS0038,446.51000000000016,630.0,183.48999999999984,317.4429999999999,UW_LAUFN,510483.75,5435175.76,9.143532591546297,49.069356310342215
02TS0050,313.745,1030.0,716.255,810.3785,UW_LAUFN,511187.42,5435234.18,9.15316808912624,49.069869443917014
07TS0013,136.39,400.0,263.61,304.52700000000004,UW_GROGH,515011.17,5439353.83,9.205672132599346,49.10684608429258
01TS0432,257.48,200.0,-57.48000000000002,19.76400000000001,UW_KETER,516185.25,5443789.22,9.22193639708597,49.146714192365216
01TS0248,175.63933333333333,800.0,624.3606666666667,677.0524666666666,UW_BHOXX,513852.31,5446293.4,9.190032869847375,49.1692971457442
01TS0502,180.89733333333334,400.0,219.10266666666666,273.3718666666667,UW_BHOXX,514245.14,5446582.42,9.195432107594973,49.17188797284108
01TS0613,188.4693333333333,400.0,211.5306666666667,268.07146666666665,UW_BHOXX,514206.6,5446373.71,9.194896002563436,49.17001145803527
06TS6013,17.990000000000002,,,,,,,,
03TS0024,301.56500000000005,400.0,98.43499999999995,188.90449999999998,UW_LASTD,514028.07,5432981.85,9.19198145636309,49.04955050999738
01TS0887,43.0,400.0,357.0,369.9,UW_SONHN,515756.0,5441997.0,9.215980390915083,49.130603735534564
01TS0683,99.0,400.0,301.0,330.7,UW_SWPXX,515664.02,5444757.53,9.214826866380955,49.15543796336405
05TS0047,577.652,630.0,52.347999999999956,225.6436,UW_GROGH,507692.23,5443264.55,9.105468181746758,49.142159698337196
07TS0004,158.157,400.0,241.843,289.2901,UW_UGRBH,515423.34,5438633.82,9.211291847235936,49.100359112436045
01TS0723,152.805,630.0,477.195,523.0365,UW_BOEKI,511002.18,5440756.93,9.15078235070012,49.11955233123912
02TS0060,254.85500000000002,630.0,375.145,451.6015,UW_LAUFN,510868.48,5435564.96,9.148810351891443,49.07285067887632
01TS0021,59.327999999999996,800.0,740.672,758.4704,UW_SONHN,513821.24,5440724.01,9.189415594227505,49.11919928240562
01TS0131,142.07966666666664,400.0,257.92033333333336,300.54423333333335,UW_SONHN,513454.15,5440497.43,9.1843772180431,49.11716925225348
01TS0286,77.93466666666667,,,,,,,,
01TS0465,73.68966666666667,250.0,176.31033333333335,198.41723333333334,UW_SONHN,513282.59,5440556.87,9.182028109181843,49.11770766879929
01TS0486,5.616,1260.0,1254.384,1256.0688,UW_BHOXX,511783.11,5447980.82,9.161696121863926,49.184519223026726
01TS0380,181.852,500.0,318.148,372.7036,UW_SONHN,514340.51,5440545.56,9.196525635219636,49.117582162480694
01TS0772,61.44500000000001,630.0,568.555,586.9885,UW_ROMER,512797.68,5444740.35,9.175515628093024,49.15534986537416
07TS0025,178.19500000000005,400.0,221.80499999999995,275.26349999999996,UW_UGRBH,515988.32,5438633.21,9.219031701062368,49.10033919951491
01TS0095,55.43233333333335,500.0,444.56766666666664,461.19736666666665,UW_SONHN,515316.09,5441683.89,9.20993833525931,49.12779832300567
01TS0103,70.75233333333334,500.0,429.24766666666665,450.47336666666666,UW_SONHN,515357.33,5441937.54,9.21051326946311,49.13007896525816
01TS0304,53.59233333333335,500.0,446.40766666666667,462.48536666666666,UW_SONHN,514967.02,5442009.02,9.205165716937588,49.13073158411281
01TS0374,54.83233333333335,400.0,345.16766666666666,361.61736666666667,UW_SONHN,515340.1,5441805.87,9.210272079045254,49.12889497750487
01TS0498,76.59233333333333,400.0,323.40766666666667,346.38536666666664,UW_SONHN,515151.34,5441868.36,9.207687045992344,49.129461780368814
01TS0822,51.83233333333335,630.0,578.1676666666666,593.7173666666666,UW_SONHN,514938.0,5441530.31,9.204750185287871,49.12642612265897
01TS0853,16.835,1600.0,1583.165,1588.2155,UW_KETER,515960.7,5443278.0,9.218837081418688,49.14212147956093
06TS0039,270.157,400.0,129.84300000000002,210.89010000000002,UW_UGRBH,519177.9,5438896.19,9.262739340564817,49.10261362586646
01TS0583,18.5,,,,,510936.26,5449605.42,9.150119305977173,49.19914864876689
01TS0551,245.35499999999996,500.0,254.64500000000004,328.2515000000001,UW_ROMER,513027.67,5445669.09,9.178699897536381,49.163699344190576
