UW,Verfügbare Einspeisekapazität in MW
SWPXX,77.1
BADHN,80.0
BHOFE,78.8
BOEKI,50.0
KETER,80.0
ROMER,48.6
SONHN,60.0
LAUFN,76.7
LASTD,53.3
UGRBH,0.0
GROGH,0.0
